gender,kais_direct,kais_rr,Duration (in seconds),StartDate,FL_63_DO_saied_sensitive,FL_63_DO_saied_nonsensitive,ResponseId,ExternalReference
Male,NA,One of the two statements is true.,1639,2023-07-19,1,NA,R_2R24GBPFcqcCVOB,R_1I9NcBJX2s5WT6F
Male,Yes,NA,1127,2023-07-19,NA,1,R_D2h2HVy6xHEdp4J,R_1gbTo0wqdgLHb4i
Female,NA,Both statements are true OR neither is true.,83207,2023-07-18,1,NA,R_A7iCU6BQXkpFMGd,R_2fd39eaTiuitUIT
Male,Yes,NA,317,2023-07-19,NA,1,R_3j9fPeJb5QJIOmW,R_yknEdKhuB2LW90Z
Male,No,NA,1180,2023-07-20,NA,1,R_2woRdEYCA4BMAPD,R_1r1w7btZfYpnfXW
Female,NA,Both statements are true OR neither is true.,578,2023-07-20,1,NA,R_1F95qI2EBVJlZVk,R_27V9VJ61LwXqhLT
Male,NA,One of the two statements is true.,1333,2023-07-20,1,NA,R_2Qt8HjMZSDGIgFS,R_T1mGy2XHzndEy09
Female,NA,Both statements are true OR neither is true.,1506,2023-07-20,1,NA,R_PuECxTCuRwUeDPX,R_3qjxs2DvuKYx9Kg
Male,No,NA,1452,2023-07-20,NA,1,R_Y9p8s8vXR7RZcJz,R_1Q3F2SsN0qVexw7
Female,No,NA,1664,2023-07-20,NA,1,R_sRxddoQJuJf3uo1,R_2Qo0I3J1kH3Uhfc
Female,Yes,NA,1230,2023-07-20,NA,1,R_116qNvQMUxEeAD3,R_D5VQnsCF1q1JTuV
Male,NA,One of the two statements is true.,7388,2023-07-20,1,NA,R_2dRvcCcwjZH7yXE,R_2fC1SwfGPVqlKif
Male,NA,Both statements are true OR neither is true.,516,2023-07-20,1,NA,R_VIFmRJv2KQvpkNH,R_Rlb4nKRpz43fgfD
Male,No,NA,604,2023-07-20,NA,1,R_1S3FWLd1INtMqe5,R_W8vav4qQdMttuoh
Female,No,NA,1049,2023-07-20,NA,1,R_1CrNDGbISA1DoQc,R_vOGDWsQYSpU6IcV
Female,No,NA,2315,2023-07-20,NA,1,R_qI8zWOag9ZGhp1D,R_2UauBOfcofeTzJq
Female,No,NA,979,2023-07-20,NA,1,R_22mgzehWLjTFinn,R_6kQBJetyfXflk6l
Female,Yes,NA,764,2023-07-20,NA,1,R_2Tt0i5HfNB2yqTI,R_2aQ3mFg5tXikWiZ
Male,NA,One of the two statements is true.,172377,2023-07-18,1,NA,R_2sT2HGzzDbP1fDC,R_2ASyBTJJwVZIN6D
Male,No,NA,98577,2023-07-19,NA,1,R_O9b24cASO2YuKjv,R_1Kg68sKeMTJjBhS
Male,NA,One of the two statements is true.,1388,2023-07-21,1,NA,R_22srXh7La5C4wMR,R_1JXFAXKkGkSl6zL
Male,NA,One of the two statements is true.,11291,2023-07-21,1,NA,R_2V9YxeQWKrAp2uG,R_3NJvJ5aJcIytXUE
Male,NA,One of the two statements is true.,643,2023-07-24,1,NA,R_2zB02ZXVNwepSFK,R_272VmfLJbDllWEI
Female,No,NA,759,2023-07-24,NA,1,R_1eWXYbvefuCUZ4n,R_1rGMH81Wn6fHgeR
Female,NA,Both statements are true OR neither is true.,833,2023-07-24,1,NA,R_2pRJHtqgQMMUP8a,R_3q7JpzDb7n3MoGE
Male,NA,Both statements are true OR neither is true.,795,2023-07-24,1,NA,R_3juhYqklb8JUyI1,R_3lxeJ6m8a6iHSdR
Male,NA,Both statements are true OR neither is true.,947,2023-07-24,1,NA,R_2tyDNIDS8spyfa3,R_1OZBEAPTTC0f64f
Male,No,NA,1047,2023-07-24,NA,1,R_2Vpzfm17kKQiJv5,R_21zbyJnkihPXe85
Male,No,NA,480,2023-07-24,NA,1,R_1hAyc11zQ0O9qej,R_3I4dj5sJmJsXb39
Male,No,NA,690,2023-07-24,NA,1,R_1dKdBZiEjI5BH3U,R_cON3szL6VfidLDX
Male,NA,One of the two statements is true.,2218,2023-07-24,1,NA,R_qyyj06jx6oZyeDn,R_3PAG8O040NarcIz
Male,NA,One of the two statements is true.,911,2023-07-24,1,NA,R_URR1xMPGQkYogEh,R_OCG7LYDlmasZj2x
Male,NA,Both statements are true OR neither is true.,1126,2023-07-24,1,NA,R_32L0t1EscfkFA6r,R_SJHDZR0rhjhe7L3
Female,No,NA,755,2023-07-24,NA,1,R_pJVZxZJ7pYkPfm9,R_1EgqYx2x12qu5L5
Male,Yes,NA,849,2023-07-24,NA,1,R_24pjKE2YS4BqBS7,R_1IzsTjdHRLXLNqM
Male,NA,One of the two statements is true.,988,2023-07-24,1,NA,R_1MPPMxkAQKE5tCg,R_bEFseyWUJCnuZax
Female,No,NA,429,2023-07-24,NA,1,R_DvspU8WXnhIdPpL,R_2ALkUyfHLMSirSa
Male,NA,Both statements are true OR neither is true.,642,2023-07-24,1,NA,R_2PoLIROA3ZuHeLT,R_3kNC9D0oUoWq0tU
Female,NA,Both statements are true OR neither is true.,36108,2023-07-24,1,NA,R_10PFqbziN1BkI8X,R_1FnuDXBpwddLmEN
Male,NA,One of the two statements is true.,587,2023-07-24,1,NA,R_3Do8rLQj44tuyTH,R_3q9jRHTGEBQ9n8n
Male,No,NA,782,2023-07-24,NA,1,R_2P5Nthb41W8Ypyo,R_pJKxG5Kk38A4tWx
Female,No,NA,41617,2023-07-24,NA,1,R_2y4zaMQ6UqXnctM,R_3g4JmrjgffRdpEW
Female,NA,NA,1276,2023-07-24,1,NA,R_paUe2BZBLUi1809,R_1n1lHe4Ff9tTZDd
Female,NA,Both statements are true OR neither is true.,540,2023-07-24,1,NA,R_1eyOUEoQw1cf5MW,R_2zirdZdrv6KsYSD
Female,NA,NA,1704,2023-07-24,NA,1,R_3nNPmea4scyllWG,R_31ZVO0TVMYB1kiq
Male,NA,One of the two statements is true.,1080,2023-07-24,1,NA,R_29idBysklsz4zJT,R_3W2IzkeZDgmEH1T
Female,No,NA,1101,2023-07-24,NA,1,R_3k4x4W8E33kzsi4,R_39NwLiZAbZfjgnT
Male,Yes,NA,564,2023-07-25,NA,1,R_3QGy03aq3V2pVtQ,R_22txoFfF3dLsEag
Male,NA,Both statements are true OR neither is true.,1037,2023-07-25,1,NA,R_3QS2DZ5qe4iqchC,R_2zMGNvQynsA6Nf5
Male,Yes,NA,560,2023-07-25,NA,1,R_0lz8sR7dQlgLwvn,R_1d51x4GvnF2Brwk
Female,NA,One of the two statements is true.,1611,2023-07-25,1,NA,R_302Gil5XHcNvMQg,R_umDVYHebAjxiC9r
Female,No,NA,278,2023-07-25,NA,1,R_3KH2SZ3vSOFcgGl,R_CesYd3rZBNTDtlv
Female,NA,One of the two statements is true.,139226,2023-07-24,1,NA,R_31aWaM9GsgW1yuK,R_C8QkCkKwLor3AeR
Male,NA,One of the two statements is true.,504,2023-07-25,1,NA,R_yk0eUWJy56OZlmx,R_31Y2s0gz1eoJ2No
Male,No,NA,576,2023-07-25,NA,1,R_2AQe3UV8uuffhyZ,R_2zNPTzWaGQLcFLl
Female,No,NA,638,2023-07-25,NA,1,R_26mCR1yWIredblM,R_3PvnO7m6ks6l8MT
Female,No,NA,639,2023-07-25,NA,1,R_2qyGb1UhoNoh8j4,R_10PIlJBCK4TGkoN
Male,Yes,NA,861,2023-07-25,NA,1,R_3ErQ6UjyJgVmZqp,R_28TWEyDrp6FUVVN
Male,No,NA,951,2023-07-25,NA,1,R_1Qa8rRntLTtlNZB,R_2EaXyCtihhM9k8v
Female,NA,One of the two statements is true.,951,2023-07-25,1,NA,R_tMRRKegXuvAYMWR,R_YboQSiiZCbtVpeh
Male,NA,Both statements are true OR neither is true.,843,2023-07-25,1,NA,R_12mfbR9jlNLw2sy,R_2S63IzSMXyMZxVZ
Female,No,NA,1093,2023-07-25,NA,1,R_31cm6G1EadhSSQI,R_DcnEiIbQf8TjcUF
Female,Yes,NA,1095,2023-07-25,NA,1,R_2qeMnapknsq6w3I,R_3qKIDY6EEgZ4dv3
Female,No,NA,1259,2023-07-25,NA,1,R_3hijhAT2PvdE3EA,R_2BsV7tputjW5woI
Female,NA,One of the two statements is true.,434,2023-07-25,1,NA,R_1dbjoPDbPTHfjPq,R_2yr5KPp9mYievGB
Male,NA,One of the two statements is true.,798,2023-07-25,1,NA,R_3312cKrx31w0gpk,R_pGWcinefOw7ZXRT
Female,NA,Both statements are true OR neither is true.,1241,2023-07-25,1,NA,R_UcIubUOi0gKBiuZ,R_2SuXW0LWxgQKQRu
Male,No,NA,954,2023-07-25,NA,1,R_21EUu9kvy4GI89F,R_3RpU0Uu96DGKaZX
Male,No,NA,942,2023-07-25,NA,1,R_2E4doZhC26qRVvp,R_1MMqbqsW5TTEBde
Male,No,NA,1436,2023-07-25,NA,1,R_CdcWUFmTHtFkbIt,R_2BhvYfnBgxiMB12
Male,No,NA,988,2023-07-25,NA,1,R_3q7MkoPQdF2VYhc,R_1Km7LflIBdunFNL
Male,NA,Both statements are true OR neither is true.,1094,2023-07-25,1,NA,R_3r381WkeCcgLjsU,R_1rJHs7B7lHQLK7F
Male,Yes,NA,1757,2023-07-25,NA,1,R_NX8vBauLIJjZpNn,R_UW0JszqAn80n7Tb
Male,No,NA,452,2023-07-25,NA,1,R_2CQAeORrkbgSfBW,R_vU1s59P4RMJrCE1
Male,No,NA,862,2023-07-25,NA,1,R_3EuxiOUY373LFDK,R_25sYoQLQrfvuIg1
Female,NA,One of the two statements is true.,931,2023-07-25,1,NA,R_3g7tjOXP5CGUB4m,R_1omZKncpPj1oYMB
Male,NA,One of the two statements is true.,713,2023-07-25,1,NA,R_SBMWOo70zzwIJ7r,R_2YGrbWIdISXPmS4
Male,NA,One of the two statements is true.,863,2023-07-25,1,NA,R_2AFiiq0iy7e01ER,R_2uUqn3EAbE7CAZ2
Female,NA,One of the two statements is true.,1478,2023-07-25,1,NA,R_2BtCKmVst1GBiks,R_s75qnCuVCfRthfj
Female,No,NA,766,2023-07-25,NA,1,R_1mXib1MgcdvbpRC,R_27d13cA4CoWJM4P
Female,No,NA,713,2023-07-25,NA,1,R_1kUpIkF5HollDPE,R_3ISNbHKeCHq7L6A
Female,NA,Both statements are true OR neither is true.,1943,2023-07-25,1,NA,R_1Hi6FK3WBKOYY0k,R_2uU2XKZLqj4VpDV
Male,NA,One of the two statements is true.,16665,2023-07-25,1,NA,R_3q8urowKRLASqSK,R_24A8rGvEyc8qu9Q
Male,NA,One of the two statements is true.,19909,2023-07-25,1,NA,R_pMolijCjIaaX5qp,R_30vLqUMjK827elq
Male,No,NA,721,2023-07-25,NA,1,R_1QLaKtGEUpm2kMn,R_WljKY4MUYmcfsv7
Male,No,NA,18720,2023-07-25,NA,1,R_1gpwRFktTqCPTT7,R_2XczKu5B2ga26U8
Female,NA,Both statements are true OR neither is true.,20972,2023-07-25,1,NA,R_2s7nv8HPUkkDzFg,R_1K8dfed1pQiCdRu
Male,No,NA,1035,2023-07-25,NA,1,R_vdJz7WWENdwcErn,R_2tqZ8MGXwZ7KEZH
Male,NA,NA,758,2023-07-25,1,NA,R_3Km0uDzSRKJhgHf,R_cBnJyskVVXt4tVL
Male,NA,One of the two statements is true.,922,2023-07-25,1,NA,R_3p2MPllZ96R5mc9,R_3kEWajPs71S4xhx
Female,NA,One of the two statements is true.,25051,2023-07-25,1,NA,R_5tnTv1YEmRANtmx,R_1JF1sPEzdgwwcC3
Male,Yes,NA,7425,2023-07-25,NA,1,R_3CNqazrBGcCDqTM,R_3COEAzyIFiUyzUD
Male,Yes,NA,795,2023-07-26,NA,1,R_1H2lKNYJy4FYMCj,R_z12lqzkThl8rAhb
Male,Yes,NA,818,2023-07-26,NA,1,R_3FUP7kQHpQJGgk4,R_21ixqfyYLywkaAR
Male,NA,Both statements are true OR neither is true.,482,2023-07-26,1,NA,R_3eq4ZKFGAcuEYNw,R_2yjcERs67LS20eM
Male,NA,Both statements are true OR neither is true.,1165,2023-07-26,1,NA,R_ywGm7S6OkihbX8J,R_1lltn84Mb0A8vOx
Male,NA,Both statements are true OR neither is true.,29910,2023-07-25,1,NA,R_24Bp59yB9RcV8FG,R_23a9dZ8iBmtXBWv
Female,NA,Both statements are true OR neither is true.,4057,2023-07-26,1,NA,R_1DBDusrfuwD5QuK,R_12LPMsBxmAque4y
Male,Yes,NA,2179,2023-07-26,NA,1,R_XnsU6mwQ7tu2k5b,R_sArmIvv4CXsW6hX
Female,NA,One of the two statements is true.,245,2023-07-26,1,NA,R_e4A16cH1hv396Uh,R_3PS8L9A8dzXtUAF
Male,NA,One of the two statements is true.,2935,2023-07-26,1,NA,R_9BlfhA3t7g77vax,R_uyTzWv8ExWq0qad
Male,No,NA,478,2023-07-26,NA,1,R_0kRjH8jI7ywjiGB,R_C2G5owc3XnPGfoR
Female,NA,Both statements are true OR neither is true.,356,2023-07-26,1,NA,R_322wJNQ7p4u2srS,R_OMSBimUnJ9UpHuV
Male,No,NA,1071,2023-07-26,NA,1,R_sonv0SWQ9sm21yN,R_3iF6fayqLcpc9cu
Female,NA,One of the two statements is true.,1567,2023-07-26,1,NA,R_1f28kiwL9soatuE,R_7URb31IsGuWo4fL
Male,No,NA,1124,2023-07-26,NA,1,R_2Et5MGSBgRQJAEL,R_2f3vW3o2LkKB1vR
Female,NA,One of the two statements is true.,761,2023-07-26,1,NA,R_3gMIORSAurqptIQ,R_3m9L2TomtCBCckI
Male,Yes,NA,933,2023-07-26,NA,1,R_3L7rmcVjJV3EjzQ,R_2RVLiOj0vZacGEJ
Female,NA,Both statements are true OR neither is true.,933,2023-07-26,1,NA,R_2Ucr1uIHiMHU1Pz,R_2zZu72JDams7qo6
Male,NA,One of the two statements is true.,640,2023-07-26,1,NA,R_32WwHFi7MfC6W6k,R_1BR77DlJ7caY0bd
Female,NA,One of the two statements is true.,1042,2023-07-26,1,NA,R_2ClvZ7j1moFqYUg,R_3PzBt0we77TgxNT
Male,NA,One of the two statements is true.,1281,2023-07-26,1,NA,R_2QlHdEZvbf5VXKT,R_12R8zmSOOnNFsMH
Male,NA,One of the two statements is true.,521,2023-07-26,1,NA,R_37PKM6YPCf13MUp,R_2yei3AfS0p1cftY
Male,No,NA,1150,2023-07-26,NA,1,R_21EsMsNzjp1FETQ,R_2X5m2KxUpSYwpud
Male,No,NA,2299,2023-07-26,NA,1,R_sdvDe5qoeqjmBtD,R_3iX4DrzsFCUynS1
Female,Yes,NA,1043,2023-07-26,NA,1,R_2ByeorwxH2h4KDS,R_332XaWjfp2X2S39
Male,NA,One of the two statements is true.,1779,2023-07-26,1,NA,R_265xozlzjQ4aFOy,R_2ZQtyRwRBpyKHSM
Male,NA,Both statements are true OR neither is true.,1043,2023-07-26,1,NA,R_214n9dqRLQUGofb,R_2BsoOxzjevxgqvx
Male,Yes,NA,1143,2023-07-26,NA,1,R_uta27TjVCFWdCwh,R_2cAuReOzoVyYOfJ
Male,Yes,NA,713,2023-07-26,NA,1,R_21nDIfh6lyczdnb,R_WuK3XHmIAkUNSlr
Female,NA,One of the two statements is true.,958,2023-07-26,1,NA,R_1E542UWNfWS0eai,R_3Mfbn47iCHswyL2
Female,NA,One of the two statements is true.,7880,2023-07-26,1,NA,R_3Muhr44dGLRwbwl,R_2s4JLQcY0wgmQhP
Female,NA,One of the two statements is true.,356,2023-07-26,1,NA,R_3h4th9eaoEcyqQs,R_2fnY4Aweve89aBH
Female,NA,One of the two statements is true.,575,2023-07-26,1,NA,R_2OSIoidzCCmRvpV,R_1QfTxjRR0WeICjk
Male,NA,One of the two statements is true.,534,2023-07-26,1,NA,R_10MX34obwnzadCu,R_1pKVnoilKvDnQLc
Other:,No,NA,763,2023-07-26,NA,1,R_2c1qe9gNNfngPPE,R_2wAh0TdcKr8Rxot
Male,NA,NA,1364,2023-07-26,1,NA,R_2TXZ8MPYcWdY1Rp,R_2pPjJoRnbpSGzCT
Female,Yes,NA,960,2023-07-26,NA,1,R_1PT7Sq3ZJ3I3so8,R_ze77BN86xjCh4vT
Female,No,NA,2243,2023-07-26,NA,1,R_UxOYQLM08yFUQh3,R_2VaJohVjCRzmF91
Female,NA,One of the two statements is true.,18399,2023-07-26,1,NA,R_1rcspKJ7Kz7p4wE,R_2qz7FwchPHTJPKS
Female,No,NA,696,2023-07-26,NA,1,R_4MIGgehgXbO66gV,R_1gNKzTgcxynUFWh
Female,NA,One of the two statements is true.,7904,2023-07-26,1,NA,R_12nxx7DWl9eaAGC,R_1Cg62bJKhQRC845
Male,No,NA,656,2023-07-26,NA,1,R_2uO3202arjkTYO9,R_3il1hUAO5IzWL0x
Male,Yes,NA,1699,2023-07-27,NA,1,R_12QLg1UsLhEt9Ca,R_2CxktozfWv3ONHw
Female,NA,NA,32002,2023-07-26,1,NA,R_2s0wYYcAqlFiYTC,R_8equSkVzzrJrb21
Male,NA,Both statements are true OR neither is true.,1246,2023-07-27,1,NA,R_pcT96uTG3AsHQBj,R_126gZ23lprfL4bF
Female,NA,Both statements are true OR neither is true.,612,2023-07-27,1,NA,R_3kCgFyRozQQs6Rt,R_tJR8cJWxIM6tFst
Male,NA,One of the two statements is true.,1797,2023-07-27,1,NA,R_Cm16dro1Xp5p8E9,R_1LnTnokvObpe4nE
Male,No,NA,1562,2023-07-27,NA,1,R_2VlNHb5BnWTbn7O,R_3J5aPe988xdBpW5
Male,No,NA,673,2023-07-27,NA,1,R_2QgHvkpGAjzTyz4,R_2OUX9r4JWuz2E5P
Male,NA,Both statements are true OR neither is true.,814,2023-07-27,1,NA,R_1Q5gAZZ9Qjt3YRl,R_2czwWE6JIaK3ZFj
Female,No,NA,744,2023-07-27,NA,1,R_3IbeaybBTW4iwmm,R_7WFf7PtP3ZtTWsp
Male,No,NA,2752,2023-07-27,NA,1,R_9Ets7Rkq8MCe1Dr,R_AnWmZJqkJSYk3sd
Male,NA,One of the two statements is true.,1463,2023-07-27,1,NA,R_2VI5bp7A4ZHEFiB,R_3LbZA2Ohp6UnGkg
Female,NA,One of the two statements is true.,600,2023-07-27,1,NA,R_3kvP9nesRSzZbvR,R_2ah1V2nLcEHyqqx
Female,No,NA,1293,2023-07-27,NA,1,R_VPgi42x0ndeIUx3,R_2bIBO0t1CBZqiYg
Male,NA,One of the two statements is true.,646,2023-07-27,1,NA,R_wQUOGi4hQbxIiuB,R_3DbcoJRFPcePFf2
Male,Yes,NA,581,2023-07-27,NA,1,R_3s00OYEW9XB510H,R_1LGUSU7J0AYglSZ
Female,No,NA,1467,2023-07-27,NA,1,R_1DAUyZqx5H2fo6W,R_z3daQ9zhggTcGCl
Male,NA,One of the two statements is true.,89583,2023-07-26,1,NA,R_DrbsDOTVce7FFgl,R_1Ff6zgBOTzkOYF7
Male,No,NA,392,2023-07-27,NA,1,R_2XcHt7q8em9nYWU,R_1ln9uxEUUqIomoS
Female,Yes,NA,95894,2023-07-26,NA,1,R_1NrAP6SGLVsfJqd,R_2fq8aB5s8Jk6SR9
Male,NA,One of the two statements is true.,53898,2023-07-27,1,NA,R_24ph6OFMFSqhsn0,R_1GTH7oFSxzeRoWm
Female,NA,One of the two statements is true.,696,2023-07-28,1,NA,R_2YW0bfRILbSuhFJ,R_2t37pkCbUM1697H
Male,NA,One of the two statements is true.,663,2023-07-28,1,NA,R_ZrRBhyFqJCjdvnH,R_2BfXrBKvx18eqZE
Female,Yes,NA,579,2023-07-28,NA,1,R_3qfIUqAZNc8n2DF,R_3iEeFjGTyC1XyBE
Male,No,NA,690,2023-07-28,NA,1,R_2rA3B2JcW2hqBnC,R_3rSuRmhoeQ8xn3c
Male,No,NA,724,2023-07-28,NA,1,R_3rSWI64G34y77JK,R_bIBEwDNM2SX0cRb
Female,NA,Both statements are true OR neither is true.,2367,2023-07-28,1,NA,R_3EF59rJOGhhTj5T,R_31QRJrWL0RaWNGI
Male,No,NA,695,2023-07-28,NA,1,R_1LkEDV9YntC3HfL,R_29bLWZMBXJf8ESq
Male,NA,One of the two statements is true.,830,2023-07-28,1,NA,R_YWbLnvEF14aINSF,R_3ltUqfSa77x9lYm
Female,Yes,NA,287,2023-07-28,NA,1,R_1f6JUlv4U3XdIsp,R_1mvZWkF4v0UlLac
Male,NA,Both statements are true OR neither is true.,702,2023-07-28,1,NA,R_11awKlAY6yNmdr3,R_WD7SC3SF5I8M0Kt
Male,Yes,NA,817,2023-07-28,NA,1,R_1d5j8Y3HjCqF2P6,R_2EoPW6GY60PVGbD
Male,No,NA,566,2023-07-28,NA,1,R_2e5zp8pU82d4t7S,R_2wNC5zbIuzWsG3D
Male,No,NA,1013,2023-07-28,NA,1,R_1CpiMwRQ2XwpDJj,R_3lSuSGluQWWNLmu
Male,NA,Both statements are true OR neither is true.,1238,2023-07-28,1,NA,R_eLovE4kDzd2oQE1,R_3RrRcP7zLlY1drW
Male,NA,Both statements are true OR neither is true.,1601,2023-07-28,1,NA,R_roJ3RQhR7PqON7r,R_1digKnfC08Mtxqu
Female,Yes,NA,655,2023-07-28,NA,1,R_qWKsuWYE9EBShqh,R_1jdf91s4zrn1Z3A
Male,Yes,NA,173,2023-07-28,NA,1,R_1IcJB1AVe7YMHJb,R_3RlOEUeLRKvaerU
Male,NA,One of the two statements is true.,1593,2023-07-28,1,NA,R_3EfBLvluL2Ojrng,R_3EgpnmCVzePhLPa
Female,No,NA,828,2023-07-28,NA,1,R_2ZOCWYgsNZUCoK5,R_43l1BTJpIveFeJH
Female,NA,One of the two statements is true.,631,2023-07-28,1,NA,R_1mDEjncK98QqHiA,R_vCCNk5bC62ZBFAZ
Male,NA,Both statements are true OR neither is true.,39796,2023-07-28,1,NA,R_3lzaFpeS6uzwp3W,R_xltluewMLFypJbH
Female,NA,One of the two statements is true.,233,2023-07-29,1,NA,R_2xzqGSuRNT2AcER,R_uxqtJRWihJVS7Zv
Male,NA,One of the two statements is true.,798,2023-07-29,1,NA,R_DRW99vc1VPF9Ll7,R_302KDLNMP5cM669
Male,NA,Both statements are true OR neither is true.,1467,2023-07-29,1,NA,R_1jrLCJtNRKKIyd1,R_3dYRGeiI3QeAcEC
Male,NA,Both statements are true OR neither is true.,1246,2023-07-29,1,NA,R_31hZiIdHZk9VQW9,R_27lLCnaA1NAslCL
Female,No,NA,736,2023-07-29,NA,1,R_eWMozOJiS60b1Bv,R_poqWnfbjmhZ9bsB
Female,No,NA,823,2023-07-29,NA,1,R_3QMoOS9mLMWE9rn,R_3m2bsTkEqmGRnBt
Male,No,NA,345,2023-07-29,NA,1,R_122OoVCtMjUGkBl,R_b4lqJFLt4cw03yV
Female,NA,Both statements are true OR neither is true.,1604,2023-07-29,1,NA,R_8dX86uYvV0wctDX,R_1IrUP8bCxj5kXp8
